Date,Open,High,Low,Close,Adj Close,Volume
2019-03-22,300.000000,300.399994,296.299988,297.700012,293.392029,535677
2019-03-25,297.000000,297.000000,293.450012,295.200012,290.928192,282408
2019-03-26,295.000000,296.299988,291.200012,293.200012,288.957123,406096
2019-03-27,293.000000,296.350006,291.750000,293.000000,288.760010,416515
2019-03-28,294.950012,301.500000,293.149994,300.000000,295.658722,703876
2019-04-01,297.250000,299.500000,296.500000,297.299988,292.997772,303844
2019-04-02,297.000000,299.700012,294.700012,297.100006,292.800690,455872
2019-04-03,297.799988,298.450012,295.000000,295.850006,291.568787,428073
2019-04-04,295.950012,296.899994,293.950012,294.500000,290.238312,183480
2019-04-05,295.200012,296.000000,292.750000,294.649994,290.386139,2110638
2019-04-08,293.500000,295.000000,291.700012,292.549988,288.316528,374984
2019-04-09,292.549988,296.700012,292.399994,296.350006,292.061554,849108
2019-04-10,294.549988,296.600006,293.450012,294.000000,289.745544,537159
2019-04-11,294.950012,297.250000,293.000000,296.299988,292.012238,829068
2019-04-12,296.399994,306.399994,295.600006,305.600006,301.177673,4545577
2019-04-15,307.000000,310.000000,304.350006,305.049988,300.635620,554033
2019-04-16,307.799988,309.750000,306.100006,307.049988,302.606689,447505
2019-04-18,307.299988,308.000000,303.399994,304.350006,299.945770,397772
2019-04-22,304.350006,305.149994,301.000000,301.700012,297.334137,466714
2019-04-23,303.700012,304.600006,301.649994,303.350006,298.960236,535808
2019-04-24,303.000000,307.200012,298.700012,306.450012,302.015381,384525
2019-04-25,306.450012,309.700012,302.649994,304.500000,300.093597,562411
2019-04-26,305.899994,306.200012,302.649994,304.649994,300.241425,195059
2019-04-30,305.000000,307.450012,300.149994,301.549988,297.186279,415423
2019-05-02,302.000000,306.250000,299.000000,304.649994,300.241425,2180861
2019-05-03,304.000000,307.350006,302.899994,303.600006,299.206635,441625
2019-05-06,304.000000,307.500000,300.950012,307.000000,302.557434,432631
2019-05-07,308.100006,309.549988,301.450012,302.350006,297.974731,598639
2019-05-08,300.850006,303.200012,298.600006,300.750000,296.397858,166758
